First Name,Last Name,Email,Location,Date of Visit,Time,Booking Notes,Mobile Phone,Party Size,Booked On,Booked Via,Status
Gregoor,Cornely,gcornely0@wp.com,Divape,6/9/2024,4:49 PM,,,3,6/22/2024,ipsum,Online
Clementius,Kornilyev,ckornilyev1@cloudflare.com,Devpoint,6/15/2024,3:19 AM,,155-137-8885,11,11/20/2023,mi,Online
Gisella,Roman,groman2@oaic.gov.au,Eazzy,7/21/2023,5:06 AM,,962-872-7200,15,6/20/2024,curae,Online
Ellette,,ewhitehead3@barnesandnoble.com,Tagchat,5/30/2024,6:35 AM,,976-620-8758,14,12/15/2023,porttitor,Online
Quent,Simion,,Browsetype,6/30/2023,4:52 PM,,157-678-1213,10,2/17/2024,dis,Online
Linnet,Skeete,lskeete5@ow.ly,Browsecat,8/20/2023,10:04 AM,,,10,6/22/2024,justo,Online
Halie,Stamp,hstamp6@tiny.cc,Viva,10/31/2023,11:40 AM,,,12,8/24/2023,mattis,Online
Kerr,Wooton,kwooton7@smugmug.com,Trilia,9/29/2023,2:26 AM,,,7,6/23/2024,volutpat,Online
Deeann,Heffernan,dheffernan8@fda.gov,Zazio,9/29/2023,11:30 AM,,292-729-9499,15,12/28/2023,nulla,Online
Major,Savary,msavary9@washington.edu,Tagfeed,4/3/2024,8:19 AM,,699-651-2123,7,12/25/2023,faucibus,Online
Monte,,mhryniewickia@umn.edu,Yabox,8/22/2023,11:32 PM,,650-392-1894,6,7/29/2023,sagittis,Online
Ema,Pinckstone,epinckstoneb@unicef.org,Oba,7/18/2023,3:21 AM,,413-329-8843,1,1/20/2024,et,Online
Marcellus,Desmond,mdesmondc@wikia.com,Devcast,2/2/2024,4:35 AM,,586-299-1475,7,1/31/2024,tempor,Online
Archer,Nourse,anoursed@meetup.com,Flipstorm,1/20/2024,5:20 AM,,769-567-0896,20,2/25/2024,vel,Online
Barry,Brun,bbrune@jiathis.com,Realbuzz,4/8/2024,12:53 AM,,580-998-7325,19,5/23/2024,diam,Online
